empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra.banking,extra.ebikes,extra.last_updated,extra.payment-terminal,extra.renting,extra.returning,extra.slots,extra.station_id,extra.uid,extra.payment
21,2,f2cc5334a358b5c06fffbf621e8aeeae,48.86053161154489,2.4091592812626543,Vitruve - Davout,2023-12-21T06:28:04.150000Z,False,1,1703138800,False,1,1,23,213706622,20122,
2,28,866bf8c8dd59d33c07ce8d86b0b108c1,48.81477852751594,2.398074567317963,Place de l'Insurrection d'Août 1944 ,2023-12-21T06:28:11.269000Z,False,3,1703138636,False,1,1,30,35101194,42003,
44,6,d93e497643df8556cfd4ce5ca95b676f,48.851617204998654,2.401513597307666,Buzenval - Avron,2023-12-21T06:28:11.549000Z,True,3,1703138299,True,1,1,50,54000615,20007,['creditcard']
8,2,481c08b5d417392d4b28388fcfa6f451,48.817161987718954,2.360236309468746,Porte d'Italie,2023-12-21T06:28:03.680000Z,False,1,1703138772,False,1,1,13,453172172,13033,
1,35,0b9887b36296d117186e1b276516dc89,48.819116181578764,2.3966637253761296,Westermeyer - Paul Vaillant-Couturier,2023-12-21T06:28:08.236000Z,True,13,1703138799,True,1,1,25,368766689,42004,['creditcard']
0,50,848bc55504507501e775d6ee4dc8880e,48.8433725710224,2.275132834911347,Cauchy - Cévennes,2023-12-21T06:28:08.370000Z,False,3,1703138786,False,1,1,51,213683992,15103,
31,5,3fe133b3337b2a5907425b8e243a8e59,48.81718759671675,2.323841750621796,Amaury Duval - Gabriel Péri,2023-12-21T06:28:07.836000Z,False,4,1703138794,False,1,1,36,653135378,21219,
14,30,627503e5338e7a6cf374105842af17a0,48.8896779050281,2.33817871442611,Caulaincourt - Place Constantin Pecqueur,2023-12-21T06:28:11.904000Z,True,21,1703138769,True,1,1,44,129101773,18017,['creditcard']
0,0,04071c26683abdacc11b13808ef6d74a,48.883151759186,2.2648814320564,Charles de Gaulle - Graviers,2023-12-21T06:28:03.736000Z,False,0,1670219436,False,0,0,0,402212574,22008,
18,15,6601de08f7e23983c000398043585558,48.86950262156371,2.4502260982990265,Paul Signac - Aristide Briand,2023-12-21T06:28:11.388000Z,False,11,1703138807,False,1,1,35,1057184567,31025,
