name,latitude,longitude,free_bikes,empty_slots,total_bikes,usage_percentage
Verdier - Jean Jaurès,48.81614048711214,2.3123561963438988,17,16,33,0.48484848484848486
Charles de Gaulle - Sablonville,48.87991924860035,2.2763770446181297,11,15,26,0.5769230769230769
Pasteur - Gambetta,48.84572797384512,2.4236011505126953,11,8,19,0.42105263157894735
Verdun - Carnot,48.808439376064946,2.373795211315155,25,2,27,0.07407407407407407
Pierre et Marie Curie - Julien Grimau,48.870714014863225,2.424097023904324,1,17,18,0.9444444444444444
Place de la Porte de Paris,48.93009363207303,2.3564037680625916,10,24,34,0.7058823529411765
Sèvres-Gallieni,48.837809408957,2.2281519323587,24,1,25,0.04
Madeleine Michelis - Roule,48.88260431301364,2.2773634269833565,17,7,24,0.2916666666666667
Victor Hugo - Gare,48.92313395265796,2.2600970417261124,12,10,22,0.45454545454545453
Marx Dormoy - Château Sainte-Barbe,48.791782341055324,2.297856844961643,10,12,22,0.5454545454545454
Gare de Robinson,48.7799259211605,2.281828634440899,4,25,29,0.8620689655172413
Saint-Cloud - Hippodrome,48.85772148887421,2.2549109905958176,0,30,30,1.0
Gare de Chaville Rive Gauche,48.80516030434533,2.188277207314968,1,17,18,0.9444444444444444
Voltaire - Anatole France,48.891999360256904,2.284262739121914,26,0,26,0.0
André Theuriet - Blagis,48.77977325745441,2.3130525648593903,2,28,30,0.9333333333333333
Adolphe Lalyre - Armand Silvestre,48.90406266961591,2.273416221141815,2,38,40,0.95
Jean-Baptiste Charcot - Sainte-Geneviève,48.90310883721567,2.278892956674099,5,16,21,0.7619047619047619
Mairie de La Garenne Colombes,48.90663823468682,2.24679596722126,13,9,22,0.4090909090909091
Pitié-Salpêtrière,48.83748810318667,2.365213818848133,17,34,51,0.6666666666666666
Place du 14 Juillet,48.8192669595252,2.30119988322258,6,15,21,0.7142857142857143
Henri Barbusse - Stalingrad,48.814183748660554,2.2872862592339516,10,6,16,0.375
Saint Lambert - Blomet,48.83659148147257,2.2930556908249855,26,1,27,0.037037037037037035
Pierre Brossolette - 12 Février 1934,48.8176962416867,2.3076123744249344,5,20,25,0.8
Mairie de Romainville,48.885109,2.435679,13,3,16,0.1875
Château - Place de Catalogne,48.836805542262,2.3185293003917,0,0,0,0.0
Italie - Tolbiac,48.82557229464416,2.3576171323657036,6,11,17,0.6470588235294118
Stalingrad - Germaine Tailleferre,48.80257200481316,2.3786691203713417,17,11,28,0.39285714285714285
Boulard - Daguerre,48.83446472680611,2.3293386027216907,6,39,45,0.8666666666666667
Place Paul Delouvrier,48.89197621431365,2.3851288855075836,8,16,24,0.6666666666666666
