station,usage,total_bikes,poi_name,poi_distance,poi_address
Beaux-Arts - Bonaparte,0.1052631578947368,19,Guy Savoy,286.2226006645267,Monnaie de Paris
Beaux-Arts - Bonaparte,0.1052631578947368,19,Galette Café,235.4755208562098,2 rue de l'Université
Beaux-Arts - Bonaparte,0.1052631578947368,19,Fish la Boissonnerie,294.1726516833999,69 rue de Seine
Beaux-Arts - Bonaparte,0.1052631578947368,19,Semilla,305.6413004610365,54 Rue Seine
Beaux-Arts - Bonaparte,0.1052631578947368,19,Le Calife,208.25073867355755,Port des Saints Pères
Beaux-Arts - Bonaparte,0.1052631578947368,19,Le Relais de l'Entrecôte,242.4433365817751,20 rue Saint Benoît
Beaux-Arts - Bonaparte,0.1052631578947368,19,Le Restaurant,31.29529513011397,13 rue des Beaux-Arts
Beaux-Arts - Bonaparte,0.1052631578947368,19,L'Avant Comptoir,573.86285318389,3 carrefour de l'Odéon
Beaux-Arts - Bonaparte,0.1052631578947368,19,Le Bistro du Périgord,1055.2771826273977,71 rue Saint-Jacques
Beaux-Arts - Bonaparte,0.1052631578947368,19,Chez Fernand,399.4915774730591,9 rue Christine
Beaux-Arts - Bonaparte,0.1052631578947368,19,Le Bistrot d'Henri,488.558989238044,16 rue Princesse
Beaux-Arts - Bonaparte,0.1052631578947368,19,Le Pré aux Clercs,135.8954055370107,30 rue Bonaparte
Beaux-Arts - Bonaparte,0.1052631578947368,19,Eggs & Co,454.64181418400375,11 rue Bernard Palissy
Beaux-Arts - Bonaparte,0.1052631578947368,19,Ladurée,109.77371910188224,21 rue Bonaparte
Beaux-Arts - Bonaparte,0.1052631578947368,19,Huitrerie Régis,418.2373750717176,3 rue de Montfaucon
Beaux-Arts - Bonaparte,0.1052631578947368,19,Fajitas,395.3414846281806,15 rue Dauphine
Beaux-Arts - Bonaparte,0.1052631578947368,19,Au Pied de Fouet,159.89085428556436,3 rue Saint Benoît
Beaux-Arts - Bonaparte,0.1052631578947368,19,Huguette,387.4805308719385,81 rue de Seine
Toudouze - Clauzel,0.8,20,Pink Mamma,358.534355262584,20 bis rue de Douai
Toudouze - Clauzel,0.8,20,Le Pantruche,244.70878462155056,3 rue Victor Massé
