company,href,id,name,location.city,location.country,location.latitude,location.longitude,source,gbfs_href,license.name,license.url,ebikes
['Ecovelo'],/v2/networks/zebullo,zebullo,ZébullO,Reims,FR,49.2628,4.0347,,https://api.gbfs.v1.ecovelo.mobi/gbfs/zebullo,,,True
['Ecovelo'],/v2/networks/velectin,velectin,Velect’in,Calais,FR,50.948056,1.856389,,https://api.gbfs.v1.ecovelo.mobi/gbfs/calais,,,True
['Ecovelo'],/v2/networks/rubis-velo,rubis-velo,Rubis'Vélo,Bourg-en-Bresse,FR,46.2056,5.2289,,https://api.gbfs.v1.ecovelo.mobi/gbfs/beb,,,
['Ecovelo'],/v2/networks/tanlib,tanlib,Vélo tanlib,Niort,FR,46.3258,-0.4606,,https://api.gbfs.v1.ecovelo.mobi/gbfs/tanlib,,,True
['Ecovelo'],/v2/networks/marseillan,marseillan,Marseillan vélo libre-service,Marseillan,FR,43.3572,3.5283,,https://api.gbfs.v1.ecovelo.mobi/gbfs/marseillan,,,
['Ecovelo'],/v2/networks/via-velo,via-velo,VIA Vélo,Val d'Ille-Aubigné,FR,48.2181,-1.6947,,https://api.gbfs.v1.ecovelo.mobi/gbfs/via,,,True
['Ecovelo'],/v2/networks/velyceo,velyceo,vélYcéo,Saint-Nazaire,FR,47.2806,-2.2086,,https://api.gbfs.v1.ecovelo.mobi/gbfs/velyceo,,,True
['Ecovelo'],/v2/networks/velocite-laon,velocite-laon,Vélo'Cité,Laon,FR,49.5639,3.6244,,https://api.gbfs.v1.ecovelo.mobi/gbfs/velocite,,,True
['Ecovelo'],/v2/networks/velo-baulois,velo-baulois,Le Vélo Baulois,La Baule-Escoublac,FR,47.2867,-2.3908,,https://api.gbfs.v1.ecovelo.mobi/gbfs/labaule,,,True
['Ecovelo'],/v2/networks/le-marcel,le-marcel,Le Marcel,Troyes,FR,48.2997,4.0792,,https://api.gbfs.v1.ecovelo.mobi/gbfs/lemarcel,,,True
['Ecovelo'],/v2/networks/tempo-velo,tempo-velo,Tempo Vélo,Agen,FR,44.2049,0.6212,,https://api.gbfs.v1.ecovelo.mobi/gbfs/tempovelo,,,True
['Ecovelo'],/v2/networks/semo,semo,semo,Communauté d'agglomération Seine-Eure,FR,49.22,1.17,,https://api.gbfs.v1.ecovelo.mobi/gbfs/semo,,,
['Ecovelo'],/v2/networks/cyclovis,cyclovis,Cyclovis,Soissons,FR,49.3817,3.3236,,https://api.gbfs.v1.ecovelo.mobi/gbfs/cyclovis,,,True
['Ecovelo'],/v2/networks/chantrerie-captainbike,chantrerie-captainbike,Chantrerie VLS (Captain Bike),"La Chantrerie, Nantes",FR,47.2868203,-1.5210917,,https://api.gbfs.v1.ecovelo.mobi/gbfs/chantrerie,,,True
['CIGL ESCH'],/v2/networks/velok,velok,Vël'Ok,Esch-sur-alzette,LU,49.5024,5.9722,https://docs.api.tfl.lu/v1/en/RESTAPIs/BikePoint/,,,,True
['Nextbike GmbH'],/v2/networks/wienmobil-rad,wienmobil-rad,WienMobil Rad,Wien,AT,48.2081743,16.3738189,,,,,
"['IGP S.p.A.', 'Urban Sharing AS']",/v2/networks/bikeverona,bikeverona,Verona Bike,Verona,IT,45.438611,10.992778,,https://gbfs.urbansharing.com/bikeverona.it/gbfs.json,,,
['Donkey Republic'],/v2/networks/sprottenflotte-kiel,sprottenflotte-kiel,Sprottenflotte,Kiel,DE,54.2837,10.13213,,https://stables.donkey.bike/api/public/gbfs/2/donkey_kiel/gbfs,,,
"['TaM', 'Smoove']",/v2/networks/velomagg,velomagg,Vélomagg,Montpellier,FR,43.6119,3.8772,,https://montpellier-fr-smoove.klervi.net/gbfs/gbfs.json,,,
